1000 3030
719 309 1
719 417 0
719 740 2
720 927 -3
720 193 2
721 750 0
721 891 1
722 780 4
722 616 3
722 283 3
722 591 -1
723 472 -4
723 632 -4
723 136 -3
723 518 -5
723 209 -4
724 952 2
724 322 -2
724 863 0
725 378 2
725 716 3
725 114 1
726 641 0
726 647 -5
727 247 -3
727 982 -4
727 303 -5
727 206 3
728 172 1
728 402 -4
728 686 1
728 837 -4
729 25 -3
730 85 2
731 71 -1
732 962 2
732 651 -2
732 112 -5
732 269 -4
733 836 3
733 20 1
733 254 0
733 883 -2
734 369 -1
734 47 -1
734 237 -3
734 563 2
734 15 3
735 562 -2
735 927 -1
735 953 -3
736 7 1
736 303 -2
736 908 2
736 920 2
736 77 -1
737 627 -5
737 881 0
738 522 -3
739 827 3
739 210 2
739 852 3
739 575 3
739 383 3
740 759 -2
740 650 -3
740 583 -1
741 448 -3
741 710 0
742 196 0
742 161 2
742 761 -2
742 217 -1
742 46 -2
743 248 -2
743 433 -4
743 476 0
744 786 4
744 349 -3
744 990 -4
744 442 2
745 836 3
745 926 4
745 873 -1
745 19 -2
746 61 0
747 474 -1
747 761 -3
747 401 4
748 30 -2
748 48 1
748 341 4
748 591 -2
749 239 -3
750 760 0
750 717 4
750 917 4
750 74 1
750 712 -3
751 533 -1
751 617 -1
752 641 -5
753 581 -1
754 470 -3
754 86 -1
755 322 3
755 739 3
755 996 -4
756 617 -4
756 291 3
756 815 0
756 476 4
757 51 2
757 242 -2
757 269 3
757 99 -4
758 539 -5
759 474 4
759 472 3
759 296 4
759 221 3
760 839 -1
760 237 -2
760 611 -2
760 605 0
761 392 -4
761 88 0
761 968 0
762 273 -1
762 356 -2
762 404 -3
763 813 4
764 707 -4
764 568 -1
764 123 3
765 43 -3
765 320 -3
765 961 -4
766 38 4
766 365 1
766 227 -1
767 573 -1
768 797 4
768 407 1
768 630 -5
768 835 -3
769 498 -4
769 715 0
769 668 -4
769 860 0
770 527 -3
770 465 -3
770 920 -2
770 309 1
771 981 1
772 178 3
772 764 0
772 608 -5
773 955 -4
773 393 3
773 837 -4
773 150 -3
774 315 1
774 795 3
774 471 -1
775 190 -2
775 413 -4
776 219 -5
776 947 1
776 861 3
776 921 -5
777 406 3
777 846 -4
777 679 -2
777 741 -4
777 209 2
778 363 2
779 749 3
779 823 -1
779 537 0
779 873 0
780 888 -4
780 138 1
780 362 -2
781 148 2
781 472 -4
781 665 -5
782 487 0
782 925 -5
782 992 -1
782 203 2
783 727 -1
783 243 4
784 324 3
784 887 3
784 53 -2
784 915 4
784 122 2
785 147 0
785 663 -2
785 85 -2
785 760 3
786 710 -1
786 470 -3
786 84 -2
786 158 0
787 161 -2
787 566 2
787 313 -4
787 663 1
788 634 3
789 905 1
789 288 0
789 939 2
789 264 -1
789 971 4
790 506 0
790 103 -4
790 996 -1
790 348 2
791 988 -4
791 894 0
792 920 -3
792 732 0
792 979 4
792 431 4
793 926 -2
793 430 0
793 726 3
794 492 -3
794 158 0
795 499 -1
795 968 0
795 56 -3
795 649 -5
795 583 -5
796 79 3
796 969 -3
796 931 -2
796 739 -5
797 524 -3
797 45 -3
798 537 -5
799 282 -5
799 812 -3
800 676 -4
800 715 0
800 411 1
800 350 -4
801 443 -4
801 793 0
801 649 0
801 363 -2
802 835 -2
802 973 -3
802 579 4
802 508 1
802 85 1
803 583 -2
803 688 -2
803 63 -4
803 888 -5
803 26 0
804 974 -3
805 725 -2
805 439 3
805 264 2
806 641 -2
806 556 -2
806 115 -4
807 982 -1
807 525 -3
808 562 2
808 625 -4
808 355 1
809 14 -1
809 577 0
809 551 4
809 799 -3
810 735 -2
810 771 0
810 941 1
811 156 -5
811 515 -3
811 983 -5
811 859 2
811 268 0
812 579 3
812 683 4
813 995 0
814 219 3
814 457 4
815 427 -1
815 543 2
815 506 3
816 798 -5
816 674 1
816 865 -5
816 683 4
817 484 0
817 172 3
818 617 -3
818 863 3
818 35 1
819 106 -5
819 173 -2
819 724 -1
819 43 -5
819 991 0
820 30 -1
821 820 2
821 335 -1
821 889 -4
822 504 -5
822 967 -3
823 163 -1
823 147 0
823 446 0
823 583 1
824 60 2
824 89 -2
824 931 4
824 705 -1
824 960 1
825 22 -4
825 98 -3
825 213 -2
825 566 1
826 868 -4
826 933 -4
826 7 -3
826 425 -2
826 216 1
827 309 4
828 524 1
828 824 -2
828 949 -2
828 574 1
828 535 -2
829 367 1
829 214 -3
829 941 2
829 624 -3
830 844 1
830 903 4
831 188 -4
832 626 1
832 774 4
833 970 -2
833 669 -1
833 752 4
833 561 -3
834 242 -4
834 182 1
834 921 2
834 726 1
834 536 -2
835 754 3
835 634 -5
835 987 -5
836 489 4
836 763 -2
836 830 2
837 62 0
837 602 0
837 260 -4
837 96 -2
837 616 2
838 959 4
838 503 -5
838 691 1
838 145 -3
839 71 -5
840 120 -5
840 73 -3
840 429 4
840 262 -3
841 432 -1
841 459 0
841 887 -3
842 536 3
842 221 4
842 498 0
843 265 -2
844 267 2
844 127 2
845 470 1
845 494 -3
845 714 3
845 127 1
846 881 4
846 914 -3
846 863 2
846 482 -3
846 854 4
847 139 -3
847 770 2
847 410 1
847 609 4
848 240 -3
848 40 4
848 600 3
848 366 1
848 192 -2
849 67 4
849 724 -5
850 298 1
850 865 -3
850 674 1
851 966 0
851 913 0
852 369 -4
852 692 -2
852 488 3
852 997 1
852 468 1
853 415 -5
853 365 2
853 555 -2
853 540 -5
854 8 -2
854 768 3
854 707 -1
854 720 3
855 930 4
855 751 -1
855 860 -1
855 44 -3
856 492 -5
857 698 -1
857 74 4
857 410 -5
858 368 -3
858 641 1
858 502 -2
858 331 4
858 165 2
859 764 4
859 212 2
859 622 -3
860 482 -1
861 396 0
861 170 3
861 796 -3
861 270 2
862 107 -3
862 297 2
862 847 1
862 755 -2
863 272 -1
863 811 -2
863 371 -2
863 175 -1
864 814 -3
864 989 0
865 141 -2
865 14 0
865 999 1
866 721 -4
867 682 -2
867 553 -2
867 954 4
867 196 -5
868 490 -4
868 376 -1
868 177 -5
869 604 -1
869 841 -3
870 241 2
870 548 -4
870 762 -2
870 632 3
870 882 4
871 585 -1
871 935 -2
871 934 2
871 414 -5
872 6 1
872 869 -5
873 34 -3
874 672 3
874 649 -5
874 836 -4
874 252 1
874 713 1
875 69 -4
875 94 -4
875 496 -2
875 664 -2
875 896 2
876 718 4
876 155 -1
876 711 -5
876 474 -4
877 145 -2
877 671 -1
877 577 -5
878 829 0
878 121 -2
878 354 4
879 88 2
879 185 2
879 710 2
880 495 -2
880 177 0
880 336 -4
880 999 -5
880 935 4
881 207 0
881 206 0
881 564 -2
882 955 4
882 213 1
883 596 2
883 714 -5
884 463 -4
884 599 4
884 60 -5
885 440 -3
885 934 -4
885 187 -4
885 963 -5
886 719 3
886 992 4
886 768 -5
886 884 -5
886 532 4
887 354 0
887 13 -1
887 574 2
887 140 2
887 718 -1
888 886 -2
889 376 0
890 320 -2
890 944 -1
890 603 -3
891 734 3
891 94 -3
891 254 -3
891 66 3
891 105 1
892 164 -1
892 979 4
892 82 -1
892 684 -1
893 133 1
893 826 -2
893 752 -5
893 940 2
893 762 3
894 358 -2
894 209 4
895 979 -2
895 286 -2
895 795 -1
896 286 4
896 606 -1
897 557 3
897 387 3
897 475 -3
897 357 -1
897 984 -3
898 23 0
898 148 -2
898 191 -1
898 20 -5
898 261 -1
899 960 -3
899 204 -3
899 346 -5
899 573 3
899 380 -3
900 453 -3
900 509 -3
900 177 -1
901 503 0
901 352 -1
901 118 3
902 347 -3
902 400 2
902 245 1
902 574 -2
903 767 4
903 985 0
903 940 2
903 793 4
904 600 1
904 893 -1
904 420 0
904 162 3
905 539 3
906 148 -1
906 189 4
906 284 1
907 272 4
907 425 0
907 331 1
907 96 -5
907 383 -3
908 861 2
908 745 -5
908 603 1
908 954 -5
908 878 -1
909 516 1
909 952 4
910 243 4
910 183 -3
910 673 3
910 125 -2
911 553 -2
911 174 0
912 548 -3
912 804 -5
912 538 0
912 785 -4
912 774 -5
913 991 -5
913 394 4
913 706 0
913 722 -2
914 756 0
914 666 -3
914 489 -1
914 740 2
915 888 0
915 972 -3
915 748 4
916 899 -2
916 401 -5
917 171 -4
917 172 -3
917 398 -3
918 113 0
918 440 -3
918 981 -1
918 205 1
919 688 0
919 448 -3
919 153 -3
919 961 1
920 350 -3
920 91 3
921 366 -2
922 833 -1
922 200 4
922 40 0
922 230 0
923 839 4
924 97 -3
924 384 1
924 482 -4
924 769 -2
925 198 -4
925 642 -4
925 614 1
925 839 -2
925 989 0
926 335 -3
926 936 3
927 682 -4
927 484 -1
927 457 3
928 600 2
928 107 0
928 337 2
928 579 -2
929 963 -3
929 869 2
929 618 -4
930 945 -4
930 434 4
931 870 4
931 384 -2
931 357 -2
931 228 -4
931 323 1
932 239 1
932 167 -2
933 662 4
933 729 -3
933 492 1
933 5 0
933 122 -1
934 64 -3
934 638 2
934 701 -4
934 193 -1
935 949 3
936 273 1
937 249 -1
937 705 -4
937 259 -4
937 415 0
938 5 1
938 404 -4
938 731 0
939 522 0
939 420 0
939 111 -4
940 497 -4
940 606 -5
940 500 4
940 371 -2
940 737 4
941 608 1
942 973 -2
942 637 -3
942 597 3
943 625 -5
944 324 1
945 199 -5
945 724 -1
946 214 -3
946 715 1
946 935 -1
947 686 -3
948 108 0
948 596 -4
948 905 -2
948 353 0
949 833 3
949 121 -4
950 398 -2
950 507 4
950 209 -1
951 364 3
952 924 1
952 368 3
952 636 -5
952 564 4
953 753 -1
953 289 4
953 534 -3
954 909 0
954 264 1
954 398 -1
954 874 -2
954 696 3
955 820 -4
956 828 2
956 50 -3
956 606 0
956 312 3
957 793 -4
958 227 -3
958 596 1
958 642 1
959 323 3
959 642 -5
959 229 0
959 562 -4
960 652 2
960 133 -2
960 428 -5
960 755 1
960 883 3
961 29 -1
961 922 3
961 277 4
962 795 3
962 832 -3
962 497 -4
963 768 3
963 107 -2
963 374 0
963 53 4
964 973 -4
964 537 2
964 78 4
964 655 -3
964 230 -2
965 115 -4
965 424 4
965 344 4
966 414 -4
966 177 -4
966 978 3
966 558 1
967 177 -5
967 496 3
967 241 4
968 264 -5
968 443 -2
968 830 3
968 402 -1
969 530 2
970 510 -5
971 199 1
971 584 0
971 674 -5
972 355 4
972 683 3
972 410 -2
972 815 -4
972 827 -3
973 134 3
974 937 -3
974 940 -5
974 152 4
975 985 4
975 983 -4
976 133 -3
976 595 -5
976 424 2
976 69 -2
976 80 -1
977 933 4
978 26 -2
978 186 0
978 814 -5
978 750 -3
979 703 1
979 345 -3
979 687 -1
979 420 3
979 444 2
980 289 1
980 285 2
980 973 -5
980 232 -4
981 680 2
981 206 1
982 602 -1
982 878 -2
982 500 -5
983 117 -1
983 487 -4
983 143 1
984 109 -2
984 683 0
984 807 -2
984 42 -3
985 500 0
985 137 -4
985 360 4
986 69 -3
986 133 -1
987 730 1
987 972 -3
987 208 -3
987 850 -4
988 105 -3
988 348 1
989 946 -1
989 470 3
989 170 -2
989 713 2
989 184 1
990 833 1
991 188 -5
991 997 2
991 421 3
992 165 1
992 6 1
993 135 3
994 637 0
994 538 -5
994 457 -5
994 186 -4
995 728 0
995 182 -5
996 343 -1
996 963 -3
996 812 -5
997 941 -4
997 51 -1
997 223 0
997 460 -1
998 238 2
998 468 -5
998 227 -4
998 561 -3
999 159 -3
999 330 2
999 886 3
999 17 -3
999 996 -1
1000 536 2
1000 132 -2
